N matrix d Alg throughput SH
8 skew-8-0.7 6 Rounding 0.77 0.5910310019841268
8 skew-8-0.7 6 Circle 0.25000000000000017 0.010714285714285697
8 skew-8-0.7 7 RRG 0.6557377049180328 0.3114754098360654
8 skew-8-0.7 7 Floor 0.8175000000000001 0.6784464060245302
8 skew-8-0.7 7 Rounding 0.8025 0.661931653003081
8 skew-8-0.7 7 Circle 0.24999999999999992 0.010714285714285671
8 skew-8-0.8 2 RRG 0.3763824048572016 0.15145215714017043
8 skew-8-0.8 2 Floor 0.63 0.5232041112248395
8 skew-8-0.8 2 Rounding 0.63 0.5151352427921106
8 skew-8-0.8 2 Circle 0.2500000000000001 0.007142857142857144
8 skew-8-0.8 3 RRG 0.46410195793548625 0.16903319471501138
8 skew-8-0.8 3 Floor 0.6275 0.4805901360544229
8 skew-8-0.8 3 Rounding 0.635 0.48051545965608544
8 skew-8-0.8 3 Circle 0.25000000000000006 0.007142857142857117
8 skew-8-0.8 4 RRG 0.5211442706715752 0.1876210841491078
8 skew-8-0.8 4 Floor 0.7074999999999999 0.5742767857142856
8 skew-8-0.8 4 Rounding 0.71 0.5781283068783076
8 skew-8-0.8 4 Circle 0.2500000000000001 0.007142857142857144
8 skew-8-0.8 5 RRG 0.5679897279827955 0.22336110415763283
8 skew-8-0.8 5 Floor 0.7575 0.632851934523809
8 skew-8-0.8 5 Rounding 0.765 0.6293533163265301
8 skew-8-0.8 5 Circle 0.25000000000000006 0.007142857142857152
8 skew-8-0.8 6 RRG 0.5776540501589326 0.21158979203705647
8 skew-8-0.8 6 Floor 0.8049999999999999 0.6741909722222226
8 skew-8-0.8 6 Rounding 0.7625000000000001 0.6152619047619052
8 skew-8-0.8 6 Circle 0.25000000000000006 0.007142857142857117
8 skew-8-0.8 7 RRG 0.6249999999999999 0.25
8 skew-8-0.8 7 Floor 0.8225 0.7076071428571431
8 skew-8-0.8 7 Rounding 0.8 0.6765524553571437
8 skew-8-0.8 7 Circle 0.25000000000000006 0.007142857142857168
8 skew-8-0.9 2 RRG 0.3748069883246521 0.141825832527735
8 skew-8-0.9 2 Floor 0.63 0.5420107051028467
8 skew-8-0.9 2 Rounding 0.63 0.556420572916665
8 skew-8-0.9 2 Circle 0.2500000000000001 0.003571428571428553
8 skew-8-0.9 3 RRG 0.4496428179167987 0.14745007135503715
8 skew-8-0.9 3 Floor 0.75 0.6679613095238084
8 skew-8-0.9 3 Rounding 0.75 0.6999436731214217
8 skew-8-0.9 3 Circle 0.25000000000000006 0.0035714285714285613
8 skew-8-0.9 4 RRG 0.5032541713597452 0.16754411057706659
8 skew-8-0.9 4 Floor 0.73 0.6142767857142855
8 skew-8-0.9 4 Rounding 0.7149999999999999 0.5960892857142857
8 skew-8-0.9 4 Circle 0.2500000000000001 0.003571428571428553
8 skew-8-0.9 5 RRG 0.5432919049979403 0.1818946803707254
8 skew-8-0.9 5 Floor 0.765 0.6725937499999997
8 skew-8-0.9 5 Rounding 0.765 0.6877187500000002
8 skew-8-0.9 5 Circle 0.24999999999999992 0.003571428571428564
8 skew-8-0.9 6 RRG 0.556575280423335 0.17859466908562588
8 skew-8-0.9 6 Floor 0.8025 0.7210289740896347
8 skew-8-0.9 6 Rounding 0.7975000000000001 0.6992806122448971
8 skew-8-0.9 6 Circle 0.25000000000000006 0.0035714285714285613
8 skew-8-0.9 7 RRG 0.5970149253731345 0.19402985074626855
8 skew-8-0.9 7 Floor 0.83 0.7553779761904751
8 skew-8-0.9 7 Rounding 0.8250000000000001 0.7570631377551011
8 skew-8-0.9 7 Circle 0.24999999999999992 0.0035714285714285804
16 Sinkhorn_data-parallelism 4 RRG 0.38497996631960063 0.0722753495300363
16 Sinkhorn_data-parallelism 4 Floor 0.81 0.7646861023268866
16 Sinkhorn_data-parallelism 4 Rounding 0.81 0.7635764422568555
16 Sinkhorn_data-parallelism 4 Circle 0.9999079655596624 0.9999553553403414
16 Sinkhorn_data-parallelism 6 RRG 0.4473251955656277 0.08051225395944157
16 Sinkhorn_data-parallelism 6 Floor 0.87 0.8413798999538337
16 Sinkhorn_data-parallelism 6 Rounding 0.87 0.8527272420642487
16 Sinkhorn_data-parallelism 6 Circle 0.9999079655596624 0.9999553553403414
16 Sinkhorn_data-parallelism 8 RRG 0.4620517787113315 0.05481414960258542
16 Sinkhorn_data-parallelism 8 Floor 0.9 0.8933598755423411
16 Sinkhorn_data-parallelism 8 Rounding 0.9 0.8960421297098584
16 Sinkhorn_data-parallelism 8 Circle 0.9999079655596624 0.9999553553403414
16 Sinkhorn_data-parallelism 10 RRG 0.48871453474854654 0.0650423541185301
16 Sinkhorn_data-parallelism 10 Floor 0.92 0.9098939424520041
16 Sinkhorn_data-parallelism 10 Rounding 0.92 0.9109304170416193
16 Sinkhorn_data-parallelism 10 Circle 0.9999079655596625 0.9999553553403414
16 Sinkhorn_data-parallelism 12 RRG 0.5093521812542292 0.06572525804431867
16 Sinkhorn_data-parallelism 12 Floor 0.9299999999999999 0.927825340743446
16 Sinkhorn_data-parallelism 12 Rounding 0.9299999999999999 0.9285904468775495
16 Sinkhorn_data-parallelism 12 Circle 0.9999079655596624 0.9999553553403414
16 Sinkhorn_data-parallelism 14 RRG 0.5250310128824788 0.06876280783104026
16 Sinkhorn_data-parallelism 14 Floor 0.94 0.9403422034806281
16 Sinkhorn_data-parallelism 14 Rounding 0.94 0.9383222826412183
16 Sinkhorn_data-parallelism 14 Circle 0.9999079655596624 0.9999553553403413
16 Sinkhorn_hybrid-parallelism 4 RRG 0.3859153309797547 0.07436312749151198
16 Sinkhorn_hybrid-parallelism 4 Floor 0.81 0.7616939371517913
16 Sinkhorn_hybrid-parallelism 4 Rounding 0.81 0.7663970573145085
16 Sinkhorn_hybrid-parallelism 4 Circle 0.9772804280889652 0.9739334695923478
16 Sinkhorn_hybrid-parallelism 6 RRG 0.43104396061059375 0.062237200446263394
16 Sinkhorn_hybrid-parallelism 6 Floor 0.87 0.8351552991535842
16 Sinkhorn_hybrid-parallelism 6 Rounding 0.87 0.8433869608740512
16 Sinkhorn_hybrid-parallelism 6 Circle 0.9772804318359053 0.9739334695923443
16 Sinkhorn_hybrid-parallelism 8 RRG 0.46547247144126125 0.06915775164979704
16 Sinkhorn_hybrid-parallelism 8 Floor 0.9 0.8775615801377943
16 Sinkhorn_hybrid-parallelism 8 Rounding 0.9 0.872430443717306
16 Sinkhorn_hybrid-parallelism 8 Circle 0.9772804318359056 0.9739334695923471
16 Sinkhorn_hybrid-parallelism 10 RRG 0.4936232193851652 0.07370087845010861
16 Sinkhorn_hybrid-parallelism 10 Floor 0.92 0.8994085651659839
16 Sinkhorn_hybrid-parallelism 10 Rounding 0.92 0.8964351424780537
16 Sinkhorn_hybrid-parallelism 10 Circle 0.9772804318359053 0.9739334695923488
16 Sinkhorn_hybrid-parallelism 12 RRG 0.5108842879938738 0.06962592748718446
16 Sinkhorn_hybrid-parallelism 12 Floor 0.9299999999999999 0.9161179336318054
16 Sinkhorn_hybrid-parallelism 12 Rounding 0.9299999999999999 0.9115732900498078
16 Sinkhorn_hybrid-parallelism 12 Circle 0.9772804318359053 0.9739334695923443
16 Sinkhorn_hybrid-parallelism 14 RRG 0.5237369390196898 0.06807645679713062
16 Sinkhorn_hybrid-parallelism 14 Floor 0.94 0.930659941844127
16 Sinkhorn_hybrid-parallelism 14 Rounding 0.94 0.9261531041781309
16 Sinkhorn_hybrid-parallelism 14 Circle 0.9772804318359051 0.973933469592346
16 Sinkhorn_heatmap1 4 RRG 0.3742586172084961 0.04744844047325622
16 Sinkhorn_heatmap1 4 Floor 0.81 0.7563446879677581
16 Sinkhorn_heatmap1 4 Rounding 0.81 0.7582553965427276
16 Sinkhorn_heatmap1 4 Circle 0.9799279829845888 0.9769485236838862
16 Sinkhorn_heatmap1 6 RRG 0.43323622854787464 0.07213953899922751
16 Sinkhorn_heatmap1 6 Floor 0.87 0.8381885546626094
16 Sinkhorn_heatmap1 6 Rounding 0.87 0.8300496342961718
16 Sinkhorn_heatmap1 6 Circle 0.979927982984588 0.9769485236838872
16 Sinkhorn_heatmap1 8 RRG 0.4720763832036057 0.07092594520429105
16 Sinkhorn_heatmap1 8 Floor 0.9 0.8720218476828108
16 Sinkhorn_heatmap1 8 Rounding 0.9 0.8746768203716919
16 Sinkhorn_heatmap1 8 Circle 0.9799279829845888 0.9769485236838862
16 Sinkhorn_heatmap1 10 RRG 0.4943587942901463 0.07445822731309477
16 Sinkhorn_heatmap1 10 Floor 0.92 0.8976319069648331
16 Sinkhorn_heatmap1 10 Rounding 0.92 0.8976466055114174
16 Sinkhorn_heatmap1 10 Circle 0.9799280000945345 0.9769485236838783
16 Sinkhorn_heatmap1 12 RRG 0.5067954498058699 0.0670643356982499
16 Sinkhorn_heatmap1 12 Floor 0.9299999999999999 0.9162366909620412
16 Sinkhorn_heatmap1 12 Rounding 0.9299999999999999 0.9136719707196563
16 Sinkhorn_heatmap1 12 Circle 0.9799280000945342 0.9769485236838829
16 Sinkhorn_heatmap1 14 RRG 0.5237452145758472 0.065665424295729
16 Sinkhorn_heatmap1 14 Floor 0.94 0.9253181727252415
16 Sinkhorn_heatmap1 14 Rounding 0.94 0.9247178245805077
16 Sinkhorn_heatmap1 14 Circle 0.9799280000945345 0.9769485236838813
16 Sinkhorn_heatmap2 4 RRG 0.37937473350096773 0.07067788916139729
16 Sinkhorn_heatmap2 4 Floor 0.81 0.7587255609166319
16 Sinkhorn_heatmap2 4 Rounding 0.81 0.7561379341989843
16 Sinkhorn_heatmap2 4 Circle 0.32746171783975664 0.00011351551810664758
16 Sinkhorn_heatmap2 6 RRG 0.43254032636290685 0.0698001292905652
16 Sinkhorn_heatmap2 6 Floor 0.87 0.8389389477088911
16 Sinkhorn_heatmap2 6 Rounding 0.87 0.8306379398378091
16 Sinkhorn_heatmap2 6 Circle 0.32746171783975664 0.00011351551810664744
16 Sinkhorn_heatmap2 8 RRG 0.4717475063172114 0.07144306028665486
16 Sinkhorn_heatmap2 8 Floor 0.8975000000000001 0.8799880293535584
16 Sinkhorn_heatmap2 8 Rounding 0.9 0.8741589190186162
16 Sinkhorn_heatmap2 8 Circle 0.32746171783975664 0.00011351551810664758
16 Sinkhorn_heatmap2 10 RRG 0.4936748272590631 0.06781073151276407
16 Sinkhorn_heatmap2 10 Floor 0.9025 0.8780421480053396
16 Sinkhorn_heatmap2 10 Rounding 0.92 0.8958386836900072
16 Sinkhorn_heatmap2 10 Circle 0.3274617178397567 0.00011351551810664804
16 Sinkhorn_heatmap2 12 RRG 0.5132330188164194 0.07283413534085512
16 Sinkhorn_heatmap2 12 Floor 0.915 0.8980872869045647
16 Sinkhorn_heatmap2 12 Rounding 0.9024999999999999 0.884820599553258
16 Sinkhorn_heatmap2 12 Circle 0.32746171783975664 0.00011351551810664744
16 Sinkhorn_heatmap2 14 RRG 0.5271017329895028 0.07015858335796624
16 Sinkhorn_heatmap2 14 Floor 0.8925000000000001 0.8737468099435899
16 Sinkhorn_heatmap2 14 Rounding 0.89 0.8670530827600231
16 Sinkhorn_heatmap2 14 Circle 0.32746171783975664 0.00011351551810664746
16 Sinkhorn_heatmap3 4 RRG 0.37964635976956873 0.06887448440316958
16 Sinkhorn_heatmap3 4 Floor 0.81 0.7715785018557735
