N matrix d Alg throughput
8 skew-8-0.9 4 RRG 0.5032541713597452
8 skew-8-0.9 4 Floor 0.73
8 skew-8-0.9 4 Rounding 0.7149999999999999
8 skew-8-0.9 4 Circle 0.2500000000000001
8 skew-8-0.9 5 RRG 0.5432919049979403
8 skew-8-0.9 5 Floor 0.765
8 skew-8-0.9 5 Rounding 0.765
8 skew-8-0.9 5 Circle 0.24999999999999992
8 skew-8-0.9 6 RRG 0.556575280423335
8 skew-8-0.9 6 Floor 0.8025
8 skew-8-0.9 6 Rounding 0.7975000000000001
8 skew-8-0.9 6 Circle 0.25000000000000006
8 skew-8-0.9 7 RRG 0.5970149253731345
8 skew-8-0.9 7 Floor 0.83
8 skew-8-0.9 7 Rounding 0.8250000000000001
8 skew-8-0.9 7 Circle 0.24999999999999992
16 Sinkhorn_data-parallelism 4 RRG 0.38497996631960063
16 Sinkhorn_data-parallelism 4 Floor 0.81
16 Sinkhorn_data-parallelism 4 Rounding 0.81
16 Sinkhorn_data-parallelism 4 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 6 RRG 0.4473251955656277
16 Sinkhorn_data-parallelism 6 Floor 0.87
16 Sinkhorn_data-parallelism 6 Rounding 0.87
16 Sinkhorn_data-parallelism 6 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 8 RRG 0.4620517787113315
16 Sinkhorn_data-parallelism 8 Floor 0.9
16 Sinkhorn_data-parallelism 8 Rounding 0.9
16 Sinkhorn_data-parallelism 8 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 10 RRG 0.48871453474854654
16 Sinkhorn_data-parallelism 10 Floor 0.92
16 Sinkhorn_data-parallelism 10 Rounding 0.92
16 Sinkhorn_data-parallelism 10 Circle 0.9999079655596625
16 Sinkhorn_data-parallelism 12 RRG 0.5093521812542292
16 Sinkhorn_data-parallelism 12 Floor 0.9299999999999999
16 Sinkhorn_data-parallelism 12 Rounding 0.9299999999999999
16 Sinkhorn_data-parallelism 12 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 14 RRG 0.5250310128824788
16 Sinkhorn_data-parallelism 14 Floor 0.94
16 Sinkhorn_data-parallelism 14 Rounding 0.94
16 Sinkhorn_data-parallelism 14 Circle 0.9999079655596624
16 Sinkhorn_hybrid-parallelism 4 RRG 0.3859153309797547
16 Sinkhorn_hybrid-parallelism 4 Floor 0.81
16 Sinkhorn_hybrid-parallelism 4 Rounding 0.81
16 Sinkhorn_hybrid-parallelism 4 Circle 0.9772804280889652
16 Sinkhorn_hybrid-parallelism 6 RRG 0.43104396061059375
16 Sinkhorn_hybrid-parallelism 6 Floor 0.87
16 Sinkhorn_hybrid-parallelism 6 Rounding 0.87
16 Sinkhorn_hybrid-parallelism 6 Circle 0.9772804318359053
16 Sinkhorn_hybrid-parallelism 8 RRG 0.46547247144126125
16 Sinkhorn_hybrid-parallelism 8 Floor 0.9
16 Sinkhorn_hybrid-parallelism 8 Rounding 0.9
16 Sinkhorn_hybrid-parallelism 8 Circle 0.9772804318359056
16 Sinkhorn_hybrid-parallelism 10 RRG 0.4936232193851652
16 Sinkhorn_hybrid-parallelism 10 Floor 0.92
16 Sinkhorn_hybrid-parallelism 10 Rounding 0.92
16 Sinkhorn_hybrid-parallelism 10 Circle 0.9772804318359053
16 Sinkhorn_hybrid-parallelism 12 RRG 0.5108842879938738
16 Sinkhorn_hybrid-parallelism 12 Floor 0.9299999999999999
16 Sinkhorn_hybrid-parallelism 12 Rounding 0.9299999999999999
16 Sinkhorn_hybrid-parallelism 12 Circle 0.9772804318359053
16 Sinkhorn_hybrid-parallelism 14 RRG 0.5237369390196898
16 Sinkhorn_hybrid-parallelism 14 Floor 0.94
16 Sinkhorn_hybrid-parallelism 14 Rounding 0.94
16 Sinkhorn_hybrid-parallelism 14 Circle 0.9772804318359051
16 Sinkhorn_heatmap1 4 RRG 0.3742586172084961
16 Sinkhorn_heatmap1 4 Floor 0.81
16 Sinkhorn_heatmap1 4 Rounding 0.81
16 Sinkhorn_heatmap1 4 Circle 0.9799279829845888
16 Sinkhorn_heatmap1 6 RRG 0.43323622854787464
16 Sinkhorn_heatmap1 6 Floor 0.87
16 Sinkhorn_heatmap1 6 Rounding 0.87
16 Sinkhorn_heatmap1 6 Circle 0.979927982984588
16 Sinkhorn_heatmap1 8 RRG 0.4720763832036057
16 Sinkhorn_heatmap1 8 Floor 0.9
16 Sinkhorn_heatmap1 8 Rounding 0.9
16 Sinkhorn_heatmap1 8 Circle 0.9799279829845888
16 Sinkhorn_heatmap1 10 RRG 0.4943587942901463
16 Sinkhorn_heatmap1 10 Floor 0.92
16 Sinkhorn_heatmap1 10 Rounding 0.92
16 Sinkhorn_heatmap1 10 Circle 0.9799280000945345
16 Sinkhorn_heatmap1 12 RRG 0.5067954498058699
16 Sinkhorn_heatmap1 12 Floor 0.9299999999999999
16 Sinkhorn_heatmap1 12 Rounding 0.9299999999999999
16 Sinkhorn_heatmap1 12 Circle 0.9799280000945342
16 Sinkhorn_heatmap1 14 RRG 0.5237452145758472
16 Sinkhorn_heatmap1 14 Floor 0.94
16 Sinkhorn_heatmap1 14 Rounding 0.94
16 Sinkhorn_heatmap1 14 Circle 0.9799280000945345
16 Sinkhorn_heatmap2 4 RRG 0.37937473350096773
16 Sinkhorn_heatmap2 4 Floor 0.81
16 Sinkhorn_heatmap2 4 Rounding 0.81
16 Sinkhorn_heatmap2 4 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 6 RRG 0.43254032636290685
16 Sinkhorn_heatmap2 6 Floor 0.87
16 Sinkhorn_heatmap2 6 Rounding 0.87
16 Sinkhorn_heatmap2 6 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 8 RRG 0.4717475063172114
16 Sinkhorn_heatmap2 8 Floor 0.8975000000000001
16 Sinkhorn_heatmap2 8 Rounding 0.9
16 Sinkhorn_heatmap2 8 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 10 RRG 0.4936748272590631
16 Sinkhorn_heatmap2 10 Floor 0.9025
16 Sinkhorn_heatmap2 10 Rounding 0.92
16 Sinkhorn_heatmap2 10 Circle 0.3274617178397567
16 Sinkhorn_heatmap2 12 RRG 0.5132330188164194
16 Sinkhorn_heatmap2 12 Floor 0.915
16 Sinkhorn_heatmap2 12 Rounding 0.9024999999999999
16 Sinkhorn_heatmap2 12 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 14 RRG 0.5271017329895028
16 Sinkhorn_heatmap2 14 Floor 0.8925000000000001
