mygrep n d matrix alg k throughputSH throughputMH
mygrep 48 4 skew-48-0.2 vermilion 2 0.5279820261437913 1
mygrep 48 4 skew-48-0.2 vermilion 3 0.6719771241830071 1
mygrep 48 4 skew-48-0.2 vermilion 4 0.767973856209151 1
mygrep 48 4 skew-48-0.2 vermilion 5 0.8063725490196086 1
mygrep 48 4 skew-48-0.2 vermilion 6 0.8479711328976043 1
mygrep 48 4 skew-48-0.3 rotornet 1 0.0661599099099099 0.7605177993527504
mygrep 48 4 skew-48-0.3 vermilion 2 0.5292792792792792 1
mygrep 48 4 skew-48-0.3 vermilion 3 0.6836524024024023 1
mygrep 48 4 skew-48-0.3 vermilion 4 0.7608389639639639 1
mygrep 48 4 skew-48-0.3 vermilion 5 0.8071509009009008 1
mygrep 48 4 skew-48-0.3 vermilion 6 0.8380255255255256 1
mygrep 48 4 skew-48-0.4 rotornet 1 0.050472508591065335 0.7078313253012049
mygrep 48 4 skew-48-0.4 vermilion 2 0.5047250859106533 1
mygrep 48 4 skew-48-0.4 vermilion 3 0.6729667812142045 1
mygrep 48 4 skew-48-0.4 vermilion 4 0.75708762886598 1
mygrep 48 4 skew-48-0.4 vermilion 5 0.8075601374570454 1
mygrep 48 4 skew-48-0.4 vermilion 6 0.8412084765177555 1
mygrep 48 4 skew-48-0.5 rotornet 1 0.04079861111111112 0.6619718309859162
mygrep 48 4 skew-48-0.5 vermilion 2 0.509982638888889 1
mygrep 48 4 skew-48-0.5 vermilion 3 0.6799768518518521 1
mygrep 48 4 skew-48-0.5 vermilion 4 0.7547743055555557 1
mygrep 48 4 skew-48-0.5 vermilion 5 0.8078125000000002 1
mygrep 48 4 skew-48-0.5 vermilion 6 0.836371527777778 1
mygrep 48 4 skew-48-0.6 rotornet 1 0.03423659673659675 0.6216931216931213
mygrep 48 4 skew-48-0.6 vermilion 2 0.5135489510489513 1
mygrep 48 4 skew-48-0.6 vermilion 3 0.673319735819736 1
mygrep 48 4 skew-48-0.6 vermilion 4 0.7532051282051284 1
mygrep 48 4 skew-48-0.6 vermilion 5 0.8011363636363639 1
mygrep 48 4 skew-48-0.6 vermilion 6 0.8387966200466203 1
mygrep 48 4 skew-48-0.7 rotornet 1 0.029492971887550203 0.586034912718205
mygrep 48 4 skew-48-0.7 vermilion 2 0.5013805220883534 1
mygrep 48 4 skew-48-0.7 vermilion 3 0.6685073627844713 1
mygrep 48 4 skew-48-0.7 vermilion 4 0.7520707831325302 1
mygrep 48 4 skew-48-0.7 vermilion 5 0.8022088353413656 1
mygrep 48 4 skew-48-0.7 vermilion 6 0.8356342034805891 1
mygrep 48 4 skew-48-0.8 rotornet 1 0.025903880070546743 0.5542452830188677
mygrep 48 4 skew-48-0.8 vermilion 2 0.5051256613756615 1
mygrep 48 4 skew-48-0.8 vermilion 3 0.6735008818342153 1
mygrep 48 4 skew-48-0.8 vermilion 4 0.7512125220458555 1
mygrep 48 4 skew-48-0.8 vermilion 5 0.8030202821869491 1
mygrep 48 4 skew-48-0.8 vermilion 6 0.837558788947678 1
mygrep 48 4 skew-48-0.9 rotornet 1 0.0230935534591195 0.5257270693512309
mygrep 48 4 skew-48-0.9 vermilion 2 0.508058176100629 1
mygrep 48 4 skew-48-0.9 vermilion 3 0.6697130503144655 1
mygrep 48 4 skew-48-0.9 vermilion 4 0.7505404874213837 1
mygrep 48 4 skew-48-0.9 vermilion 5 0.8036556603773586 1
mygrep 48 4 skew-48-0.9 vermilion 6 0.8352168501048219 1
mygrep 64 4 chessboard-64 vermilion 2 0.6614583333333334 1
mygrep 64 4 chessboard-64 vermilion 3 0.8819444444444444 1
mygrep 64 4 chessboard-64 vermilion 4 0.8268229166666666 1
mygrep 64 4 chessboard-64 vermilion 5 0.9260416666666668 1
mygrep 64 4 chessboard-64 vermilion 6 0.8819444444444444 1
mygrep 64 4 uniform-64 vermilion 2 0.984375 1
mygrep 64 4 uniform-64 vermilion 3 0.984375 1
mygrep 64 4 uniform-64 vermilion 4 0.984375 1
mygrep 64 4 uniform-64 vermilion 5 0.984375 1
mygrep 64 4 uniform-64 vermilion 6 0.984375 1
mygrep 64 4 permutation-64 vermilion 2 0.5078125 1
mygrep 64 4 permutation-64 vermilion 3 0.671875 1
mygrep 64 4 permutation-64 vermilion 4 0.75390625 1
mygrep 64 4 permutation-64 vermilion 5 0.8031250000000001 1
mygrep 64 4 permutation-64 vermilion 6 0.8359375 1
mygrep 64 4 skew-64-0.1 vermilion 2 0.546875 1
mygrep 64 4 skew-64-0.1 vermilion 3 0.6835937499999999 1
mygrep 64 4 skew-64-0.1 vermilion 4 0.7519531249999999 1
mygrep 64 4 skew-64-0.1 vermilion 5 0.8203124999999999 1
mygrep 64 4 skew-64-0.1 vermilion 6 0.8430989583333331 1
mygrep 64 4 skew-64-0.2 vermilion 2 0.5142257462686567 1
mygrep 64 4 skew-64-0.2 vermilion 3 0.6856343283582088 1
