N matrix d Alg throughput
8 random-skewed-8 5 Optimal 0.8922566506793382
8 random-skewed-8 6 Optimal 0.9026827776332996
8 random-skewed-8 7 Optimal 0.9128184622170048
8 skew-8-0.1 2 Optimal 0.5384617063748549
8 skew-8-0.1 3 Optimal 0.6603773899865709
8 skew-8-0.1 4 Optimal 0.7216495053416859
8 skew-8-0.1 5 Optimal 0.7954545454545453
8 skew-8-0.1 6 Optimal 0.8596491228070177
8 skew-8-0.1 7 Optimal 0.9302325581395355
8 skew-8-0.2 2 Optimal 0.5537975856039239
8 skew-8-0.2 3 Optimal 0.6782946309035882
8 skew-8-0.2 4 Optimal 0.7446808995090709
8 skew-8-0.2 5 Optimal 0.7777777777777778
8 skew-8-0.2 6 Optimal 0.8166666666666667
8 skew-8-0.2 7 Optimal 0.8950617398743899
8 skew-8-0.3 2 Optimal 0.5882353735504406
8 skew-8-0.3 3 Optimal 0.6918239906014706
8 skew-8-0.3 4 Optimal 0.7352941176470589
8 skew-8-0.3 5 Optimal 0.7692307858714681
8 skew-8-0.3 6 Optimal 0.8333333615074698
8 skew-8-0.3 7 Optimal 0.8571428659809189
8 skew-8-0.4 2 Optimal 0.6250000872329637
8 skew-8-0.4 3 Optimal 0.701275107613159
8 skew-8-0.4 4 Optimal 0.7446808510638298
8 skew-8-0.4 5 Optimal 0.7954545454545455
8 skew-8-0.4 6 Optimal 0.8045977076713196
8 skew-8-0.4 7 Optimal 0.8536585365853661
8 skew-8-0.5 2 Optimal 0.6447368671122374
8 skew-8-0.5 3 Optimal 0.6862745098039215
8 skew-8-0.5 4 Optimal 0.7668539325842696
8 skew-8-0.5 5 Optimal 0.7839999999999998
8 skew-8-0.5 6 Optimal 0.8235294257558496
8 skew-8-0.5 7 Optimal 0.8333333350857908
8 skew-8-0.6 2 Optimal 0.6314433071874372
8 skew-8-0.6 3 Optimal 0.7142857541289437
8 skew-8-0.6 4 Optimal 0.7747396512397807
8 skew-8-0.6 5 Optimal 0.8076923575522857
8 skew-8-0.6 6 Optimal 0.8203125
8 skew-8-0.6 7 Optimal 0.8536585440805577
8 skew-8-0.7 2 Optimal 0.6392694337827063
8 skew-8-0.7 3 Optimal 0.7659932659932661
8 skew-8-0.7 4 Optimal 0.7720588235294119
8 skew-8-0.7 5 Optimal 0.8193384223918576
