mygrep,N,matrix,maxValue,networkType,degree,throughput
mygrep,16,chessboard-16,2.0,demand-aware-periodic,14,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,14,1.0
mygrep,16,permutation-16,14.0,demand-aware-periodic,14,1.0
mygrep,16,skew-16-0.0,1.0,demand-aware-periodic,14,1.0
mygrep,16,skew-16-0.1,3.0,demand-aware-periodic,14,0.89
mygrep,16,skew-16-0.2,4.0,demand-aware-periodic,14,0.84
mygrep,16,skew-16-0.3,5.0,demand-aware-periodic,14,0.8200000000000001
mygrep,16,skew-16-0.4,7.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.5,8.0,demand-aware-periodic,14,0.79
mygrep,16,skew-16-0.6,9.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.7,11.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.8,12.0,demand-aware-periodic,14,0.8
mygrep,16,skew-16-0.9,13.0,demand-aware-periodic,14,0.83
mygrep,16,skew-16-1.0,14.0,demand-aware-periodic,14,1.0
mygrep,16,data-parallelism,14.0,demand-aware-periodic,14,0.86
mygrep,16,hybrid-parallelism,13.0,demand-aware-periodic,14,0.88
mygrep,16,heatmap2,14.0,demand-aware-periodic,14,0.85
mygrep,16,heatmap3,13.0,demand-aware-periodic,14,0.88
mygrep,16,chessboard-16,2.0,demand-aware-periodic,12,0.8
mygrep,16,uniform-16,1.0,demand-aware-periodic,12,1.0
